"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2021_Q088";"multipla";"História";"Língua Estrangeira (Inglês)";"Mídias digitais";"Médio";"ENEM";"2021";"15";"É preciso usar de violência e rebater varonilmente os apetites dos sentidos sem atender ao que a carne quer ou não quer, mas trabalhando por sujeitá-la ao espírito, ainda que se revolte. Cumpre castigá-la e curvá-la à sujeição, a tal ponto que esteja disposta para tudo, sabendo contentar-se com pouco e deleitar-se com a simplicidade, sem resmungar por qualquer incômodo. KEMPIS, T. Imitação de Cristo. Petrópolis: Vozes, 2015";"Exaltação do ritualismo litúrgico.";"Afirmação do pensamento racional.";"Desqualificação da atividade laboral.";"Condenação da alimentação impura.";"Desvalorização da materialidade corpórea.";"e";"A resposta correta é a alternativa E. Desvalorização da materialidade corpórea."
"ENEM_2021_Q089";"multipla";"História";"Gramática e Linguística";"Coesão e coerência";"Médio";"ENEM";"2021";"15";"![](https://enem.dev/2021/questions/89/e99742b0-7668-451c-8ee6-7f98be4183a4.jpg)";"Norte";"Sul";"Leste";"Oeste";"Nordeste";"b";"A resposta correta é a alternativa B. Sul"
"ENEM_2021_Q090";"multipla";"História";"Interpretação e Produção de Texto";"Coesão e coerência";"Médio";"ENEM";"2021";"15";"EIGENHEER, E. M. **Lixo:** a limpeza urbana através dos tempos. Porto Alegre: Gráfica Palloti, 2009. **Texto II** A repugnante tarefa de carregar lixo e os dejetos da casa para as praças e praias era geralmente destinada ao único escravo da família ou ao de menor status ou valor. Todas as noites, depois das dez horas, os escravos conhecidos popularmente como “tigres” levavam tubos ou barris de excremento e lixo sobre a cabeça pelas ruas do Rio. KARACH, M. C. **A vida dos escravos no Rio de Janeiro, 1808-1850.** Rio de Janeiro: Cia. das letras, 2000.";"Valorização do trabalho braçal.";"Reiteração das hierarquias sociais.";"Sacralização das atividades laborais.";"Superação das exclusões econômicas.";"Ressignificação das heranças religiosas.";"b";"A resposta correta é a alternativa B. Reiteração das hierarquias sociais."
"ENEM_2021_Q090";"multipla";"História";"Literatura Brasileira";"Análise sintática";"Médio";"ENEM";"2021";"15";"EIGENHEER, E. M. **Lixo:** a limpeza urbana através dos tempos. Porto Alegre: Gráfica Palloti, 2009. **Texto II** A repugnante tarefa de carregar lixo e os dejetos da casa para as praças e praias era geralmente destinada ao único escravo da família ou ao de menor status ou valor. Todas as noites, depois das dez horas, os escravos conhecidos popularmente como “tigres” levavam tubos ou barris de excremento e lixo sobre a cabeça pelas ruas do Rio. KARACH, M. C. **A vida dos escravos no Rio de Janeiro, 1808-1850.** Rio de Janeiro: Cia. das letras, 2000.";"Valorização do trabalho braçal.";"Reiteração das hierarquias sociais.";"Sacralização das atividades laborais.";"Superação das exclusões econômicas.";"Ressignificação das heranças religiosas.";"b";"A resposta correta é a alternativa B. Reiteração das hierarquias sociais."
"ENEM_2021_Q091";"multipla";"Biologia";"Língua Estrangeira (Inglês)";"Mídias digitais";"Médio";"ENEM";"2021";"15";"No cultivo por hidroponia, são utilizados soluções nutritivas contendo macronutrientes e micronutrientes essenciais. Além dos nutrientes, o pH é um parâmetro de extrema importância, uma vez que ele afeta a preparação da solução nutritiva e a absorção dos nutrientes pelas plantas. Para o cultivo de alface, valores de pH entre 5,5 e 6,5 são ideais para o seu desenvolvimento. As correções de pH são feitas pela adição de compostos ácidos ou básicos, mas não devem introduzir elementos nocivos às plantas. Na tabela, são apresentados alguns dados da composição da solução nutritiva de referência para esse cultivo. Também é apresentada a composição de uma solução preparada por um produtor de cultivo hidropônico. ![](https://enem.dev/2021/questions/91/1dc57326-df5b-4852-aedc-5839a54129ec.png) LENZI, E; FAVERO, L. O. B; LUCHESE, E. B. **Introdução à química da água:** ciência, vida e sobrevivência. Rio de Janeiro: LTC, 2012 (adaptado).";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"e";"Gabarito oficial: alternativa E. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2021_Q092";"multipla";"Biologia";"Língua Estrangeira (Espanhol)";"Reading comprehension";"Médio";"ENEM";"2021";"15";"O sino dos ventos é composto por várias barras metálicas de mesmo material e espessura, mas de comprimentos diferentes, conforme a figura. ![](https://enem.dev/2021/questions/92/5bb60323-94e3-4bc4-bd57-90725682dd94.png) Considere f1 e v1, respectivamente, como a frequência fundamental e a velocidade de propagação do som emitido pela barra de menor comprimento, e f2 e v2 são essas mesmas grandezas para o som emitido pela barra de maior comprimento.";"F1< f2 e v1 < v2.";"F1 < f2 e v1 = v2.";"F1< f2 e v1 > v2.";"F1 > f2 e v1 = v2.";"F1 > f2 e v1 > v2.";"d";"A resposta correta é a alternativa D. F1 > f2 e v1 = v2."
"ENEM_2021_Q093";"multipla";"Biologia";"Interpretação e Produção de Texto";"Modernismo";"Médio";"ENEM";"2021";"15";"O polvo mimético apresenta padrões cromáticos e comportamentos muito curiosos. Frequentemente, muda a orientação de seus tentáculos, assemelhando-se a alguns animais. As imagens 1, 3, e 5 apresentam polvos mimetizando, respectivamente, um peixe-linguado (2), um peixe-leão (4) e uma serpente-marinha (6). ![](https://enem.dev/2021/questions/93/63fd588f-0f17-4c2b-b0cb-ed3acf8b7f70.png) NORMAN, M. D.; FINN, J.; TREGENZA, T. Dynamic mimicry in an Indo-Malayan octopus. In: Proceedings of the Royal Society B: Biological Sciences, n. 268, out. 2021. Disponível em: www.researchgate.net. Acesso em: 15 mar. 2014 (adaptado).";"Originaram-se do mesmo ancestral que esses animais.";"Passaram por mutações similares a esses organismos.";"Observaram esses animais em seus nichos ecológicos.";"Resultaram de convergência adaptativa com essas espécies.";"Sobrevivem às pressões seletivas com esses comportamentos";"e";"A resposta correta é a alternativa E. Sobrevivem às pressões seletivas com esses comportamentos"
"ENEM_2021_Q094";"multipla";"Matemática";"Números e Operações";"Seno e cosseno";"Médio";"ENEM";"2021";"15";"A figura foi extraída de um antigo jogo de computadores, chamado _Bang! Bang!_ ![](https://enem.dev/2021/questions/94/5a37495e-68a2-43fb-ac41-13a2fcc55e79.png) No jogo, dois competidores controlam os canhões **A** e **B** , disparando balas alternadamente com o objetivo de atingir o canhão do adversário; para isso, atribuem valores estimados para o módulo de velocidade inicial de disparo ![](https://enem.dev/2021/questions/94/435840f2-c28e-427b-82f4-c210044547ee.png) e para o ângulo de disparo ![](https://enem.dev/2021/questions/94/708a0541-6e2f-4256-ab6e-24d3b0a9a668.png). Em determinado momento de uma partida, o competidor **B** deve disparar; ele sabe que a bala disparada anteriormente, = 53 °, Passou tangenciando o Ponto **P** . No jogo, ![](https://enem.dev/2021/questions/94/c86c266a-40df-44d7-bc37-00fb42361fd1.png) é igual a 10 m / s 2. Considere sen 53 ° = 0,8, cos 53 ° = 0,6 e desprezível a ação de dissipativas. Disponível em: [http://mebdownloads.butzke.net.br](http://mebdownloads.butzke.net.br/) . Acesso em: 18 abr. 2015 (adaptado). Com base nas distâncias dadas e mantendo o último ângulo de disparo, qual deveria ser, aproximadamente, o menor valor de ![](https://enem.dev/2021/questions/94/0fea5329-7b51-4107-b32c-9e80dbb06407.png) que permitiria ao disparo pelo canhão **B** atingir o canhão **A?**";"30 m/s";"35 m/s";"40 m/s";"45 m/s";"50 m/s";"c";"A resposta correta é a alternativa C. 40 m/s"
"ENEM_2021_Q095";"multipla";"Biologia";"Comunicação e Tecnologia";"Coesão e coerência";"Médio";"ENEM";"2021";"15";"Os pesticidas organoclorados foram amplamente empregados na agricultura, contudo, em razão das suas elevadas toxicidades e persistências no meio ambiente, eles foram banidos. Considere a aplicação de 500 g de um pesticida organoclorado em uma cultura e que, em certas condições, o tempo de meia-vida do pesticida no solo seja de 5 anos.";"3,9 g.";"31, 2 g.";"62,5 g.";"125,0 g.";"250,0 g.";"a";"A resposta correta é a alternativa A. 3,9 g."
"ENEM_2021_Q096";"multipla";"Biologia";"Literatura Brasileira";"Arte contemporânea";"Médio";"ENEM";"2021";"15";"A sequência de nucleotídeos do RNA mensageiro presentes em um gene de um fungo, constituída de sete códons, está escrita a seguir ![](https://enem.dev/2021/questions/96/5b6529ba-c1eb-4122-b4de-a281d26d7c5c.png) Pesquisadores submeteram a sequência a mutações independentes. Sabe-se que os códons UAG e UAA são terminais, ou seja, indicam a interrupção da tradução.";"Deleção de G no códon 3.";"Substituição de C por U no códon 4.";"Substituição de G por C no códon 6.";"Substituição de A por G no códon 7.";"Deleção dos dois primeiros nucleotídeos no códon 5.";"b";"A resposta correta é a alternativa B. Substituição de C por U no códon 4."
