"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3959";"multipla";"Quimica";"Quimica Geral";"pH e pOH";"Medio";"Vestibular";"2024";"Uma solucao tem concentracao de ions H+ igual a 10^-3 mol/L. O pH desta solucao e:";"3";"11";"-3";"0,001";"7";"a";"pH = -log[H+] = -log(10^-3) = 3. Como pH < 7, a solucao e acida.";""
"3960";"multipla";"Quimica";"Quimica Geral";"Estequiometria";"Medio";"Vestibular";"2024";"Na reacao 2H2 + O2 -> 2H2O, quantos mols de agua sao produzidos a partir de 4 mols de H2?";"4 mols";"2 mols";"8 mols";"1 mol";"6 mols";"a";"Pela estequiometria: 2 mols H2 produzem 2 mols H2O (relacao 1:1). Logo, 4 mols H2 produzem 4 mols H2O.";""
"3961";"multipla";"Biologia";"Botanica";"Fotossintese e respiracao";"Facil";"Vestibular";"2024";"A equacao geral da fotossintese e:";"6CO2 + 6H2O + luz -> C6H12O6 + 6O2";"C6H12O6 + 6O2 -> 6CO2 + 6H2O + energia";"6O2 + 6H2O -> C6H12O6 + CO2";"CO2 + H2O -> O2 + glicose + luz";"C6H12O6 -> 2C2H5OH + 2CO2";"a";"A fotossintese usa CO2, H2O e energia luminosa para produzir glicose (C6H12O6) e O2. A alternativa b e a respiracao aerobia (processo inverso). A alternativa e e a fermentacao alcoolica.";""
"3962";"multipla";"Biologia";"Zoologia";"Filogenia animal";"Medio";"Vestibular";"2024";"Qual grupo animal e caracterizado por possuir notocorda, dorso nervoso tubular e fendas faringeas em algum estagio do desenvolvimento?";"Cordados";"Artropodos";"Equinodermos";"Moluscos";"Anelidos";"a";"Os cordados (Phylum Chordata) sao definidos por quatro caracteristicas em algum estagio do desenvolvimento: notocorda, dorso nervoso tubular, fendas faringeas e cauda pos-anal. Incluem peixes, anfibios, repteis, aves e mamiferos.";""
"3963";"multipla";"Biologia";"Fisiologia Humana";"Sistema circulatorio";"Facil";"Vestibular";"2024";"O coracao humano adulto possui quantas camaras?";"4";"2";"3";"6";"1";"a";"O coracao humano adulto possui 4 camaras: atrio direito e ventriculo direito (circulacao pulmonar) e atrio esquerdo e ventriculo esquerdo (circulacao sistemica). A separacao completa permite circulacao dupla e completa, essencial para mamiferos e aves homeotermicos.";""
"3964";"multipla";"Historia";"Historia Geral";"Renascimento";"Facil";"Vestibular";"2024";"O Renascimento Cultural (seculos XIV-XVI) teve como caracteristica principal:";"O antropocentrismo e o retorno aos ideais greco-romanos";"O teocentrismo medieval e a subordinacao ao clero";"O feudalismo e a economia agraria";"O misticismo e a negacao da razao";"O isolacionismo cultural da Europa";"a";"O Renascimento foi um movimento intelectual e artistico que se iniciou na Italia e se espalhou pela Europa, caracterizado pelo antropocentrismo (o homem como centro), valorizacao da razao e da ciencia, retorno aos classicos greco-romanos, humanismo e secularizacao da arte e do conhecimento.";""
"3965";"multipla";"Historia";"Historia Geral";"Reforma Protestante";"Medio";"Vestibular";"2024";"Martinho Lutero iniciou a Reforma Protestante em 1517 ao publicar suas 95 teses, que criticavam principalmente:";"A venda de indulgencias e a corrupcao da Igreja Catolica";"O celibato dos sacerdotes e o uso do latim nas missas";"A Inquisicao e a perseguicao a cientistas";"A alianca entre Igreja e Estado";"O poder temporal dos reis europeus";"a";"As 95 Teses de Lutero, afixadas na catedral de Wittenberg, criticavam sobretudo a pratica da venda de indulgencias (perdao dos pecados em troca de dinheiro) e a corrupcao clerical. Lutero defendia a Biblia como unica autoridade (Sola Scriptura) e a salvacao pela fe (Sola Fide), sem mediacao da Igreja.";""
"3966";"multipla";"Historia";"Historia do Brasil";"Periodo Colonial";"Facil";"Vestibular";"2024";"O sistema de capitanias hereditarias, implantado em 1534, foi criado para:";"Promover a colonizacao e a defesa do territorio brasileiro contra invasores";"Estabelecer a escravidao indigena no Brasil";"Financiar as missoes jesuiticas";"Organizar o comercio do pau-brasil";"Dividir o Brasil em provincias administrativas democraticas";"a";"O sistema de capitanias hereditarias foi criado por D. Joao III como solucao de baixo custo para colonizar e defender o extenso territorio brasileiro, entregando porcoes de terra (capitanias) a donatarios que deveriam coloniza-las com recursos proprios em troca de privilegios. Apenas duas (Sao Vicente e Pernambuco) tiveram sucesso inicial.";""
"3967";"multipla";"Historia";"Historia do Brasil";"Independencia do Brasil";"Facil";"Vestibular";"2024";"O 'Grito do Ipiranga', que marcou a Independencia do Brasil, ocorreu em:";"7 de setembro de 1822";"15 de novembro de 1889";"13 de maio de 1888";"22 de abril de 1500";"7 de setembro de 1808";"a";"A Independencia do Brasil foi proclamada por D. Pedro I as margens do Riacho do Ipiranga, em Sao Paulo, em 7 de setembro de 1822. O Brasil se tornou independente de Portugal, com D. Pedro I como primeiro Imperador do Brasil.";""
"3968";"multipla";"Historia";"Historia do Brasil";"Abolicao da escravidao";"Facil";"Vestibular";"2024";"A Lei Aurea, que aboliu a escravidao no Brasil, foi assinada em:";"13 de maio de 1888";"15 de novembro de 1889";"7 de setembro de 1822";"13 de maio de 1808";"7 de setembro de 1888";"a";"A Lei Aurea foi assinada pela Princesa Isabel em 13 de maio de 1888, abolindo a escravidao no Brasil, ultimo pais das Americas a faze-lo. Nao previu indenizacao nem politicas de insercao social para os ex-escravizados, gerando exclusao persistente.";""
"3969";"multipla";"Geografia";"Hidrografia";"Bacias hidrograficas";"Facil";"Vestibular";"2024";"A maior bacia hidrografica do mundo em area e:";"Bacia Amazonica";"Bacia do Prata";"Bacia do Congo";"Bacia do Mississippi";"Bacia do Nilo";"a";"A Bacia Amazonica e a maior bacia hidrografica do mundo, com aproximadamente 7 milhoes de km2. O Rio Amazonas e o maior em volume de agua e em extensao total do sistema fluvial. A bacia se estende pelo Brasil, Peru, Colombia, Venezuela, Equador, Bolivia, Guiana, Suriname e Guiana Francesa.";""
"3970";"multipla";"Geografia";"Geopolitica";"Organizacoes internacionais";"Facil";"Vestibular";"2024";"A ONU (Organizacao das Nacoes Unidas) foi criada em:";"1945, apos a Segunda Guerra Mundial";"1919, apos a Primeira Guerra Mundial";"1948, com a Declaracao Universal dos Direitos Humanos";"1991, com o fim da Guerra Fria";"1964, durante a Guerra do Vietna";"a";"A ONU foi fundada em 24 de outubro de 1945, apos a Segunda Guerra Mundial, substituindo a falida Liga das Nacoes. Tem como objetivos manter a paz e seguranca internacionais, promover o desenvolvimento e os direitos humanos. Atualmente conta com 193 paises membros.";""
"3971";"multipla";"Geografia";"Climatologia";"Efeito estufa";"Facil";"Vestibular";"2024";"O principal gas responsavel pelo aumento do efeito estufa antrópico e:";"Dioxido de carbono (CO2)";"Oxigenio (O2)";"Nitrogenio (N2)";"Argonio (Ar)";"Hidrogenio (H2)";"a";"O CO2 e o principal gas de efeito estufa de origem antrópica, emitido principalmente pela queima de combustiveis fosseis e desmatamento. Outros gases importantes incluem metano (CH4), oxido nitroso (N2O) e gases fluorados. O aumento da concentracao de CO2 desde a Revolucao Industrial e a principal causa do aquecimento global.";""
"3972";"multipla";"Lingua Portuguesa";"Gramatica";"Regencia verbal";"Medio";"Vestibular";"2024";"Assinale a alternativa com uso correto da regencia verbal:";"O professor assistiu ao filme com os alunos.";"O professor assistiu o filme com os alunos.";"Ele prefere de sair a ficar em casa.";"Eles chegaram em Sao Paulo ontem.";"Eu viso ao cargo de diretor.";"a";"O verbo 'assistir' no sentido de 'ver/presenciar' e transitivo indireto e exige preposicao 'a': 'assistir A algo'. Alternativa b omite a preposicao. Na alternativa d, 'chegar' pede preposicao 'a' (chegaram A Sao Paulo). Na alternativa e, 'visar' no sentido de 'ter como objetivo' pede 'a' (visa A o cargo — mas a forma esta estranha); no sentido de 'mirar' e transitivo direto.";""
"3973";"multipla";"Lingua Portuguesa";"Gramatica";"Crase";"Medio";"Vestibular";"2024";"O uso do acento grave (crase) esta correto em:";"Fui a Paris e voltei a tempo.";"Ele se referiu a ela com respeito.";"Entreguei o presente a minha mae.";"Vou a escola amanha.";"Refiro-me a todos os alunos.";"c";"Em 'Entreguei o presente a minha mae', ha crase: preposicao 'a' + artigo feminino 'a' antes de substantivo feminino. As demais alternativas: Paris nao aceita artigo antes (nao se diz 'a Paris'); 'a ela' e pronome pessoal, sem artigo, sem crase; 'a escola' sem artigo especifico nao exige crase; 'a todos' - masculino, sem crase.";""
"3974";"multipla";"Lingua Portuguesa";"Literatura Brasileira";"Barroco";"Medio";"Vestibular";"2024";"O Padre Antonio Vieira, maior nome do Barroco brasileiro, e reconhecido principalmente por suas:";"Sermonistica — seroes religiosos de grande poder retorico";"Obras poeticas em estilo gongorizante";"Cronicas de viagem ao Brasil Colonial";"Pecas teatrais de tema biblico";"Epopeas sobre a Conquista portuguesa";"a";"Antonio Vieira (1608-1697) foi um jesuita que viveu entre Portugal e o Brasil. E considerado o maior pregador em lingua portuguesa, famoso pelos 'Seroes' (seroes religiosos), como o 'Sermao da Sexagesima' e o 'Sermao do Bom Ladrao'. Seu estilo combina conceptismo (jogo de ideias) e culteranismo.";""
"3975";"multipla";"Lingua Portuguesa";"Literatura Brasileira";"Arcadismo";"Medio";"Vestibular";"2024";"Tomas Antonio Gonzaga, autor de 'Marilia de Dirceu', pertence ao movimento literario:";"Arcadismo (Neoclassicismo)";"Barroco";"Romantismo";"Modernismo";"Parnasianismo";"a";"Tomas Antonio Gonzaga (1744-1810) e um dos principais poetas do Arcadismo brasileiro. 'Marilia de Dirceu' e a obra mais importante do Arcadismo no Brasil, um conjunto de liras liricas dedicadas a sua amada. O Arcadismo valorizava a simplicidade, a natureza bucolica e os ideais da Antiguidade Classica (Carpe Diem, Inutilia truncat).";""
"3976";"multipla";"Filosofia";"Filosofia Politica";"Liberalismo";"Medio";"Vestibular";"2024";"John Locke, pai do liberalismo politico, defendia que os direitos naturais do individuo incluem:";"Vida, liberdade e propriedade";"Igualdade, fraternidade e solidariedade";"Trabalho, saude e educacao";"Fe, esperanca e caridade";"Seguranca, ordem e progresso";"a";"Em 'Dois Tratados sobre o Governo' (1689), Locke afirma que os seres humanos nascem com direitos naturais inalienáveis: vida, liberdade e propriedade. O papel do governo e proteger esses direitos; se falhar, os cidadaos tem o direito de resistencia. Essa trilogia influenciou profundamente as revolucoes americana e francesa.";""
"3977";"multipla";"Filosofia";"Metafisica";"Idealismo aleman";"Dificil";"Vestibular";"2024";"A 'coisa em si' (Ding an sich) em Kant refere-se a:";"A realidade tal como e, independente da percepcao humana, inacessivel ao conhecimento";"O objeto material que podemos tocar e sentir";"A ideia platonica pura";"O fenomeno tal como aparece a nossa consciencia";"A esfera do pratico e da moral";"a";"Para Kant, so podemos conhecer os fenomenos — as coisas como aparecem para nos, mediadas pelas formas a priori da sensibilidade (espaco e tempo) e pelas categorias do entendimento. A 'coisa em si' (noumeno) e a realidade independente da percepcao, que em principio existe mas e inacessivel ao conhecimento humano.";""
"3978";"multipla";"Sociologia";"Sociologia Urbana";"Segregacao espacial";"Medio";"Vestibular";"2024";"A segregacao socioespacional nas cidades brasileiras refere-se a:";"Concentracao de populacoes por renda e classe social em diferentes areas urbanas";"Separacao racial legal das populacoes nas cidades";"Migracao rural-urbana intensa";"Concentracao industrial em zonas especificas";"Divisao administrativa das cidades em bairros";"a";"A segregacao socioespacional e o processo pelo qual grupos sociais de diferentes rendas e classes ocupam areas distintas da cidade. Nas metropoles brasileiras, as populacoes de baixa renda concentram-se em periferias, favelas e areas de risco, enquanto as elites ocupam as areas centrais valorizadas e condomínios fechados, reproduzindo desigualdades sociais no espaco urbano.";""
"3979";"multipla";"Matematica";"Numeros";"Numeros complexos";"Dificil";"Vestibular";"2024";"O modulo do numero complexo z = 3 + 4i e:";"5";"7";"25";"1";"12";"a";"|z| = raiz(a2 + b2) = raiz(32 + 42) = raiz(9+16) = raiz(25) = 5.";""
"3980";"multipla";"Matematica";"Calculo";"Limites";"Dificil";"Vestibular";"2024";"O limite de (x2-4)/(x-2) quando x tende a 2 e:";"4";"0";"Infinito";"2";"Indefinido";"a";"Fatorando: (x2-4)/(x-2) = (x+2)(x-2)/(x-2) = x+2 (para x diferente de 2). Quando x -> 2: lim = 2+2 = 4.";""
"3981";"multipla";"Fisica";"Mecanica";"Pressao e fluidos";"Medio";"Vestibular";"2024";"Um mergulhador esta a 10 m de profundidade na agua (d=1000 kg/m3, g=10 m/s2). A pressao hidrostatica nessa profundidade e:";"100.000 Pa";"10.000 Pa";"1.000.000 Pa";"1.000 Pa";"10 Pa";"a";"P = d * g * h = 1000 * 10 * 10 = 100.000 Pa = 100 kPa = 1 atm.";""
"3982";"multipla";"Fisica";"Termodinamica";"Primeira lei da termodinamica";"Medio";"Vestibular";"2024";"Um gas recebe 500 J de calor e realiza 200 J de trabalho. A variacao de energia interna do gas e:";"300 J";"700 J";"-300 J";"500 J";"200 J";"a";"Pela primeira lei: DeltaU = Q - W = 500 - 200 = 300 J. O gas aumentou sua energia interna em 300 J.";""
"3983";"multipla";"Fisica";"Eletromagnetismo";"Campo eletrico";"Medio";"Vestibular";"2024";"Uma carga positiva de 2 C esta num campo eletrico de intensidade 50 N/C. A forca eletrica sobre ela e:";"100 N";"25 N";"52 N";"48 N";"0,04 N";"a";"F = q * E = 2 * 50 = 100 N.";""
"3984";"multipla";"Quimica";"Quimica Organica";"Isomeria";"Medio";"Vestibular";"2024";"Dois compostos com a mesma formula molecular mas diferentes estruturas sao chamados de:";"Isomeros";"Alostopos";"Isotopicos";"Isobarios";"Isoeletronicos";"a";"Isomeros sao compostos com a mesma formula molecular mas diferentes formulas estruturais ou diferentes arranjos espaciais. Exemplos: n-butano e isobutano (isomeria de cadeia); etanol e eter metilico (isomeria de funcao); cis e trans-2-buteno (isomeria geometrica).";""
"3985";"multipla";"Quimica";"Quimica Geral";"Numero de oxidacao";"Medio";"Vestibular";"2024";"O numero de oxidacao do enxofre no acido sulfurico (H2SO4) e:";"+6";"-2";"+4";"0";"+2";"a";"Em H2SO4: H tem NOX +1 (dois H = +2), O tem NOX -2 (quatro O = -8). Soma dos NOX = 0: +2 + NOX(S) + (-8) = 0, logo NOX(S) = +6.";""
"3986";"multipla";"Biologia";"Ecologia";"Ciclos biogeoquimicos";"Medio";"Vestibular";"2024";"No ciclo do nitrogenio, o processo pelo qual bacterias convertem N2 atmosferico em NH3 e chamado de:";"Fixacao de nitrogenio";"Nitrificacao";"Denitrificacao";"Amonificacao";"Aminacao";"a";"A fixacao de nitrogenio e realizada por bacterias fixadoras (Rhizobium, Azotobacter, Anabaena) que convertem N2 atmoerico em amonia (NH3). Essa amonia pode ser utilizada pelas plantas. A nitrificacao converte NH3 em nitratos; a denitrificacao converte nitratos de volta a N2.";""
"3987";"multipla";"Biologia";"Genetica";"DNA e replicacao";"Medio";"Vestibular";"2024";"A replicacao do DNA e descrita como semiconservativa porque:";"Cada molecula filha contem uma fita original e uma nova fita sintetizada";"Todo o DNA e conservado na celula mae e um DNA completamente novo e sintetizado";"Apenas metade do DNA e replicado em cada divisao celular";"As duas fitas originais sao destruidas e duas novas sao sintetizadas";"O DNA e conservado somente nas celulas-tronco";"a";"Na replicacao semiconservativa (comprovada por Meselson e Stahl em 1958): a dupla helice se abre e cada fita serve de molde para a sintese de uma nova fita complementar. O resultado sao duas moleculas de DNA, cada uma contendo uma fita original (parental) e uma fita nova (filha).";""
"3988";"multipla";"Historia";"Historia Geral";"Segunda Guerra Mundial";"Facil";"Vestibular";"2024";"A Segunda Guerra Mundial terminou em 1945 com a derrota de:";"Alemanha, Italia e Japao (Eixo)";"Estados Unidos, Franca e Reino Unido (Aliados)";"Uniao Sovietica e China";"Alemanha e Uniao Sovietica";"Japao e Estados Unidos";"a";"A Segunda Guerra Mundial (1939-1945) opôs as Potencias do Eixo (Alemanha nazista, Italia fascista e Japao imperial) contra os Aliados (Reino Unido, EUA, URSS, Franca). A guerra terminou com a derrota do Eixo: a Alemanha capitulou em maio de 1945 e o Japao em setembro de 1945 apos os bombardeios atomicos de Hiroshima e Nagasaki.";""
"3989";"multipla";"Historia";"Historia Geral";"Colonialismo na Africa";"Medio";"Vestibular";"2024";"A Conferencia de Berlim (1884-1885) foi importante porque:";"Dividiu a Africa entre as potencias europeias sem consulta aos povos africanos";"Aboliu o trafico de escravos no continente africano";"Criou a Uniao Africana e promoveu a autodeterminacao";"Estabeleceu fronteiras entre as colonias americanas";"Regulamentou o comercio de marfim na Africa";"a";"A Conferencia de Berlim (1884-85), convocada por Bismarck, regulou a partilha colonial da Africa entre potencias europeias (Belgica, Franca, Portugal, Alemanha, Reino Unido, etc.). As fronteiras foram traçadas artificialmente, ignorando etnias, linguas e culturas locais, gerando conflitos que persistem ate hoje.";""
"3990";"multipla";"Geografia";"Geopolitica";"BRICS";"Medio";"Vestibular";"2024";"O bloco BRICS e composto originalmente pelos paises:";"Brasil, Russia, India, China e Africa do Sul";"Bolivia, Russia, Indonesia, Colombia e Argentina";"Brasil, Reino Unido, Italia, Canada e Suecia";"Belgica, Romenia, Israel, Chile e Senegal";"Bolivia, Russia, Iraque, Cuba e Siria";"a";"BRICS e o acronimo para Brasil, Russia, India, China e Africa do Sul — economias emergentes com grande populacao e territorio, que se articulam politicamente e economicamente como alternativa ao dominio das economias do G7. O termo foi cunhado pelo economista Jim O'Neill em 2001 (originalmente BRIC, sem a Africa do Sul).";""
